redirect_type,old_path,new_slug,redirect_target,redirect_rule,notes,old_url
EXACT,mobile/oauth2,mobile/oauth2,/docs/mobile/oauth2/,,Path unchanged,https://thingsboard.io/docs/mobile/oauth2/
EXACT,mobile/qr-code-settings,mobile/qr-code-settings,/docs/mobile/qr-code-settings/,,Path unchanged,https://thingsboard.io/docs/mobile/qr-code-settings/
EXACT,mobile/release,mobile/release,/docs/mobile/release/,,Path unchanged,https://thingsboard.io/docs/mobile/release/
EXACT,mqtt-broker,mqtt-broker,/docs/mqtt-broker/,,Path unchanged,https://thingsboard.io/docs/mqtt-broker/
EXACT,reference,reference,/docs/reference/,,Path unchanged,https://thingsboard.io/docs/reference/
EXACT,reference/architecture,reference/architecture,/docs/reference/architecture/,,Path unchanged,https://thingsboard.io/docs/reference/architecture/
EXACT,reference/circuitpython-client-sdk,reference/circuitpython-client-sdk,/docs/reference/circuitpython-client-sdk/,,Path unchanged,https://thingsboard.io/docs/reference/circuitpython-client-sdk/
EXACT,reference/dart-client,reference/dart-client,/docs/reference/dart-client/,,Path unchanged,https://thingsboard.io/docs/reference/dart-client/
EXACT,reference/micropython-client-sdk,reference/micropython-client-sdk,/docs/reference/micropython-client-sdk/,,Path unchanged,https://thingsboard.io/docs/reference/micropython-client-sdk/
EXACT,reference/python-rest-client,reference/python-rest-client,/docs/reference/python-rest-client/,,Path unchanged,https://thingsboard.io/docs/reference/python-rest-client/
EXACT,reference/rest-api,reference/rest-api,/docs/reference/rest-api/,,Path unchanged,https://thingsboard.io/docs/reference/rest-api/
EXACT,trendz,trendz,/docs/trendz/,,Path unchanged,https://thingsboard.io/docs/trendz/
EXACT,user-guide,user-guide,/docs/user-guide/,,Path unchanged,https://thingsboard.io/docs/user-guide/
EXACT,user-guide/alarm-rules,user-guide/alarm-rules,/docs/user-guide/alarm-rules/,,Path unchanged,https://thingsboard.io/docs/user-guide/alarm-rules/
EXACT,user-guide/alarms,user-guide/alarms,/docs/user-guide/alarms/,,Path unchanged,https://thingsboard.io/docs/user-guide/alarms/
EXACT,user-guide/asset-profiles,user-guide/asset-profiles,/docs/user-guide/asset-profiles/,,Path unchanged,https://thingsboard.io/docs/user-guide/asset-profiles/
EXACT,user-guide/bulk-provisioning,user-guide/bulk-provisioning,/docs/user-guide/bulk-provisioning/,,Path unchanged,https://thingsboard.io/docs/user-guide/bulk-provisioning/
EXACT,user-guide/calculated-fields,user-guide/calculated-fields,/docs/user-guide/calculated-fields/,,Path unchanged,https://thingsboard.io/docs/user-guide/calculated-fields/
EXACT,user-guide/contribution/rule-node-development,user-guide/contribution/rule-node-development,/docs/user-guide/contribution/rule-node-development/,,Path unchanged,https://thingsboard.io/docs/user-guide/contribution/rule-node-development/
EXACT,user-guide/contribution/widgets-development,user-guide/contribution/widgets-development,/docs/user-guide/contribution/widgets-development/,,Path unchanged,https://thingsboard.io/docs/user-guide/contribution/widgets-development/
EXACT,user-guide/dashboards,user-guide/dashboards,/docs/user-guide/dashboards/,,Path unchanged,https://thingsboard.io/docs/user-guide/dashboards/
EXACT,user-guide/device-profiles,user-guide/device-profiles,/docs/user-guide/device-profiles/,,Path unchanged,https://thingsboard.io/docs/user-guide/device-profiles/
EXACT,user-guide/edge-computing,user-guide/edge-computing,/docs/user-guide/edge-computing/,,Path unchanged,https://thingsboard.io/docs/user-guide/edge-computing/
EXACT,user-guide/entity-views,user-guide/entity-views,/docs/user-guide/entity-views/,,Path unchanged,https://thingsboard.io/docs/user-guide/entity-views/
EXACT,user-guide/image-gallery,user-guide/image-gallery,/docs/user-guide/image-gallery/,,Path unchanged,https://thingsboard.io/docs/user-guide/image-gallery/
EXACT,user-guide/integrations,user-guide/integrations,/docs/user-guide/integrations/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/
EXACT,user-guide/integrations/aws-iot,user-guide/integrations/aws-iot,/docs/user-guide/integrations/aws-iot/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/aws-iot/
EXACT,user-guide/integrations/chirpstack,user-guide/integrations/chirpstack,/docs/user-guide/integrations/chirpstack/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/chirpstack/
